0,1,2,3
150,"JR Smith, G",Denver Nuggets,"$4,985,001"
RK,NAME,TEAM,SALARY
151,"Kyle Korver, G",Utah Jazz,"$4,956,818"
152,"Rafer Alston, PG",Orlando Magic,"$4,900,000"
153,"Derrick Rose, PG",Chicago Bulls,"$4,822,800"
154,"Nenad Krstic, C",Oklahoma City Thunder,"$4,778,548"
155,"Derek Fisher, PG",Los Angeles Lakers,"$4,700,000"
156,"Reggie Evans, C",Philadelphia 76ers,"$4,640,000"
157,"LaMarcus Aldridge, C",Portland Trail Blazers,"$4,631,400"
158,"Kendrick Perkins, C",Boston Celtics,"$4,578,880"
159,"Chris Paul, PG",New Orleans Hornets,"$4,574,189"
160,"Anthony Parker, SG",Toronto Raptors,"$4,550,000"
RK,NAME,TEAM,SALARY
161,"Sasha Vujacic, SG",Los Angeles Lakers,"$4,524,887"
162,"Sasha Pavlovic, SG",Cleveland Cavaliers,"$4,500,000"
163,"Ronny Turiaf, C",Golden State Warriors,"$4,500,000"
164,"Lou Williams, SG",Philadelphia 76ers,"$4,500,000"
165,"Kevin Durant, PF",Oklahoma City Thunder,"$4,484,040"
166,"Damon Jones, PG",Milwaukee Bucks,"$4,460,186"
167,"Luke Walton, SF",Los Angeles Lakers,"$4,420,000"
168,"Trenton Hassell, SF",New Jersey Nets,"$4,350,000"
169,"Michael Beasley, F",Miami Heat,"$4,314,960"
170,"Marcus Banks, PG",Toronto Raptors,"$4,260,000"
RK,NAME,TEAM,SALARY
171,"Steve Blake, PG",Portland Trail Blazers,"$4,250,000"
172,"Darius Songaila, PF",Washington Wizards,"$4,235,000"
173,"Kurt Thomas, PF",San Antonio Spurs,"$4,200,000"
174,"Adam Morrison, SF",Los Angeles Lakers,"$4,159,200"
175,"Raymond Felton, G",Charlotte Bobcats,"$4,148,715"
176,"Al Horford, C",Atlanta Hawks,"$4,023,720"
177,"Greg Buckner, SG",Memphis Grizzlies,"$4,010,005"
178,"James Jones, SG",Miami Heat,"$4,010,000"
179,"Bruce Bowen, SF",San Antonio Spurs,"$4,000,000"
180,"Kwame Brown, C",Detroit Pistons,"$4,000,000"
RK,NAME,TEAM,SALARY
181,"Travis Outlaw, SF",Portland Trail Blazers,"$4,000,000"
182,"Zaza Pachulia, C",Atlanta Hawks,"$4,000,000"
183,"O.J. Mayo, SG",Memphis Grizzlies,"$3,875,040"
184,"Steven Hunter, C",Memphis Grizzlies,"$3,862,600"
185,"Delonte West, SG",Cleveland Cavaliers,"$3,850,000"
186,"Keith Van Horn, PF",Dallas Mavericks,"$3,792,112"
187,"Martell Webster, SF",Portland Trail Blazers,"$3,771,133"
188,"Tyrus Thomas, PF",Chicago Bulls,"$3,749,880"
189,"Daniel Gibson, SG",Cleveland Cavaliers,"$3,700,000"
190,"CJ Miles, G",Utah Jazz,"$3,700,000"
RK,NAME,TEAM,SALARY
191,"Amir Johnson, F",Detroit Pistons,"$3,666,667"
192,"Ryan Gomes, SF",Minnesota Timberwolves,"$3,650,000"
193,"Mike Conley, PG",Memphis Grizzlies,"$3,630,480"
194,"Rasual Butler, SF",New Orleans Hornets,"$3,630,000"
195,"DeShawn Stevenson, SG",Washington Wizards,"$3,616,072"
196,"Fabricio Oberto, C",San Antonio Spurs,"$3,600,000"
197,"Robert Swift, C",Oklahoma City Thunder,"$3,579,131"
198,"Roger Mason Jr., SG",San Antonio Spurs,"$3,500,000"
199,"Brian Cook, PF",Houston Rockets,"$3,500,000"
200,"Russell Westbrook, PG",Oklahoma City Thunder,"$3,493,680"
RK,NAME,TEAM,SALARY
201,"Charlie Villanueva, PF",Milwaukee Bucks,"$3,448,050"
202,"Shelden Williams, C",Minnesota Timberwolves,"$3,395,760"
203,"Willie Green, SG",Philadelphia 76ers,"$3,388,000"
204,"Charlie Bell, SG",Milwaukee Bucks,"$3,354,480"
205,"Keyon Dooling, PG",New Jersey Nets,"$3,300,000"
206,"Jeff Green, PF",Oklahoma City Thunder,"$3,287,640"
207,"Eduardo Najera, PF",New Jersey Nets,"$3,250,000"
208,"Chucky Atkins, PG",Oklahoma City Thunder,"$3,240,000"
209,"Brian Scalabrine, PF",Boston Celtics,"$3,206,897"
210,"Kris Humphries, PF",Toronto Raptors,"$3,200,000"
RK,NAME,TEAM,SALARY
211,"Channing Frye, F",Portland Trail Blazers,"$3,163,769"
212,"Kevin Love, PF",Minnesota Timberwolves,"$3,163,680"
213,"Luis Scola, F",Houston Rockets,"$3,100,667"
214,"Trevor Ariza, SF",Los Angeles Lakers,"$3,100,000"
215,"Damien Wilkins, SG",Oklahoma City Thunder,"$3,100,000"
216,"Marc Gasol, C",Memphis Grizzlies,"$3,093,333"
217,"Brandon Roy, SG",Portland Trail Blazers,"$3,084,240"
218,"Carl Landry, PF",Houston Rockets,"$3,000,000"
219,"Yi Jianlian, SF",New Jersey Nets,"$2,986,080"
220,"Matt Bonner, C",San Antonio Spurs,"$2,978,000"
RK,NAME,TEAM,SALARY
221,"Ike Diogu, PF",Sacramento Kings,"$2,912,823"
222,"Kelenna Azubuike, SF",Golden State Warriors,"$2,900,000"
223,"Danilo Gallinari, PF",New York Knicks,"$2,873,520"
224,"Randy Foye, SG",Minnesota Timberwolves,"$2,815,560"
225,"Andrew Bynum, C",Los Angeles Lakers,"$2,769,300"
226,"Andray Blatche, C",Washington Wizards,"$2,739,669"
227,"Corey Brewer, F",Minnesota Timberwolves,"$2,725,920"
228,"Sean May, C",Charlotte Bobcats,"$2,661,027"
229,"Eddie House, SG",Boston Celtics,"$2,650,000"
230,"Steve Francis, PG",Houston Rockets,"$2,634,480"
RK,NAME,TEAM,SALARY
231,"Mark Madsen, PF",Minnesota Timberwolves,"$2,630,000"
232,"Eric Gordon, SG",LA Clippers,"$2,623,200"
233,"Rashad McCants, SG",Sacramento Kings,"$2,620,126"
234,"Dorell Wright, SF",Miami Heat,"$2,612,835"
235,"Rudy Gay, SF",Memphis Grizzlies,"$2,579,400"
236,"Keith Bogans, SG",Milwaukee Bucks,"$2,565,000"
237,"Chris Mihm, C",Los Angeles Lakers,"$2,500,000"
238,"Maurice Evans, SG",Atlanta Hawks,"$2,500,000"
239,"Craig Smith, PF",Minnesota Timberwolves,"$2,500,000"
240,"Tony Allen, SG",Boston Celtics,"$2,500,000"
RK,NAME,TEAM,SALARY
241,"Michael Finley, SG",San Antonio Spurs,"$2,500,000"
242,"Brandan Wright, F",Golden State Warriors,"$2,497,320"
243,"Jason Hart, PG",Denver Nuggets,"$2,484,000"
244,"Joey Graham, SF",Toronto Raptors,"$2,449,184"
245,"Joe Alexander, SF",Milwaukee Bucks,"$2,403,120"
246,"Danny Granger, SF",Indiana Pacers,"$2,329,805"
247,"Sebastian Telfair, PG",Minnesota Timberwolves,"$2,300,000"
248,"Ricky Davis, SG",LA Clippers,"$2,300,000"
